Data,Temp Med,Temp Max,Temp Min,Chuva,UR
06/05/2019,26.2,32.4,20.8,0,64.04
07/05/2019,25.1,32.2,21,2,63.67
08/05/2019,24.1,29.4,19.9,0,60.67
09/05/2019,23.9,29.9,18.4,0,58.88
10/05/2019,25.8,31.8,20.8,0,62.21
11/05/2019,26.3,31.7,22.1,0,63.08
12/05/2019,25.2,30.8,21.2,0,63.38
13/05/2019,23.3,29.9,18.5,0,62.71
14/05/2019,17.9,24,14.4,0,56.33
15/05/2019,19.3,26.4,11.9,0,57.04
16/05/2019,21,25.9,17.8,0.6,60.33
17/05/2019,21.6,27.2,17.7,0,59.13
18/05/2019,21.4,27.6,16.9,0,60
19/05/2019,21.4,28.4,16.4,0,58.75
20/05/2019,21.9,28.7,15.2,0,58.13
21/05/2019,22.4,28.9,17.5,0,56
22/05/2019,22.3,30.7,15.4,0,53.92
23/05/2019,22.9,29.4,16.2,0.6,54.92
24/05/2019,17.2,20.4,12.4,9.8,59.58
25/05/2019,16.1,22.5,10.6,0.2,56.5
26/05/2019,18.5,24.8,12.9,0,55.29
27/05/2019,22.8,29.8,16.5,0,51.92
28/05/2019,23.7,31.9,18.6,44.2,54.21
29/05/2019,23.9,29.4,19.2,1,67.13
30/05/2019,25.6,31.6,21.9,0,64.63
31/05/2019,25.3,30.8,20.9,0,59.54
01/06/2019,24.4,30.1,19.3,0,60.29
02/06/2019,23.2,28.6,19.7,0,62.92
03/06/2019,19.7,24.8,16.4,15.2,65.71
04/06/2019,18.5,22.4,15.7,0.2,63.46
05/06/2019,17.2,22.5,12.2,0,53.63
06/06/2019,18.9,24.8,13.9,0,56.71
07/06/2019,20.4,28.2,15.2,0,55.46
08/06/2019,21.2,27.7,14.6,0,55.5
09/06/2019,20.3,25.9,13.3,0,51.79
10/06/2019,20.9,26.7,15.6,0,53.13
11/06/2019,22.9,28,18.4,0,53.58
12/06/2019,23.4,29,19.5,0,53.21
13/06/2019,23.8,29.5,19.1,0,54.29
14/06/2019,24.2,29.5,20.3,0,54.5
15/06/2019,24.3,29.3,19.3,0,51.5
16/06/2019,23.2,29.8,16.7,0,51.63
17/06/2019,22.9,28.3,17.8,0,50.79
18/06/2019,21.8,28.8,17.2,0,51.38
19/06/2019,22.2,29.7,15.8,0,53.79
20/06/2019,22.5,29.9,15.4,0,54.33
